City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hithadhoo,-0.6,73.0833,301.92,71,100,2.34,MV,1712879633
1,atafu village,-8.5421,-172.5159,302.8,75,39,3.6,TK,1712879633
2,puerto ayora,-0.7393,-90.3518,299.01,98,64,2.68,EC,1712879633
3,blackmans bay,-43.0167,147.3167,287.33,69,84,3.77,AU,1712879633
4,ushuaia,-54.8,-68.3,280.96,66,0,11.83,AR,1712879387
5,calingasta,-31.3308,-69.4078,287.08,55,0,5.45,AR,1712879439
6,charlottetown,46.2352,-63.1267,281.31,59,75,7.15,CA,1712879630
7,black river,18.0264,-77.8487,300.83,74,52,4.64,JM,1712879634
8,tsiombe,-25.3,45.4833,293.04,88,95,2.71,MG,1712879335
9,port-aux-francais,-49.35,70.2167,279.2,86,100,3.14,TF,1712879634
10,fort bragg,35.139,-79.006,294.37,91,100,6.69,US,1712879386
11,avarua,-21.2078,-159.775,301.18,89,75,7.2,CK,1712879634
12,edinburgh of the seven seas,-37.0676,-12.3116,291.58,93,56,7.08,SH,1712879368
13,san patricio,28.017,-97.5169,303.12,31,0,4.81,US,1712879379
14,santa cruz cabralia,-16.2781,-39.0247,301.28,78,20,3.09,BR,1712879634
15,sampit,-2.5333,112.95,298.59,94,73,0.28,ID,1712879634
16,adamstown,-25.066,-130.1015,294.33,54,7,5.22,PN,1712879634
17,ust-nera,64.5667,143.2,267.66,88,89,2.44,RU,1712879634
18,rio grande,-32.035,-52.0986,293.21,60,100,6.63,BR,1712879424
19,ust'-ilimsk,58.0006,102.6619,267.84,93,100,0.89,RU,1712879634
20,vorgashor,67.5833,63.95,263.6,87,100,8.97,RU,1712879635
21,garissa,-0.4536,39.6401,299.3,79,100,5.07,KE,1712879635
22,minas de marcona,-15.2119,-75.1103,290.66,78,8,5.44,PE,1712879444
23,bandar lampung,-5.4254,105.258,297.81,93,100,0.32,ID,1712879635
24,carnarvon,-24.8667,113.6333,295.14,59,59,8.74,AU,1712879635
25,whitehorse,60.7161,-135.0538,281.58,29,20,7.2,CA,1712879635
26,san jose,37.3394,-121.895,302.79,37,20,5.66,US,1712879364
27,garachico,28.7781,-17.7646,295.21,31,100,4.63,ES,1712879635
28,rozhniv,48.366,25.2258,286.68,79,98,2.12,UA,1712879635
29,mejit,10.2753,170.8646,299.82,80,100,9.15,MH,1712879635
30,bilibino,68.0546,166.4372,262.59,79,98,1.81,RU,1712879635
31,iqaluit,63.7506,-68.5145,270.0,73,75,1.54,CA,1712879635
32,constantia,44.1833,28.65,290.76,61,34,2.48,RO,1712879390
33,albany,42.6001,-73.9662,288.2,80,100,0.89,US,1712879433
34,nadi,-17.8,177.4167,304.15,70,20,4.12,FJ,1712879636
35,chonchi,-42.6128,-73.8092,284.71,80,0,0.41,CL,1712879636
36,tolanaro,-25.0319,46.9987,296.19,88,40,2.06,MG,1712879636
37,invercargill,-46.4,168.35,283.16,80,99,2.68,NZ,1712879636
38,uturoa,-16.7333,-151.4333,302.14,77,40,8.07,PF,1712879636
